input_index,action_candidate,sequence_status,fix_applied,detail,prev_start_sec,prev_end_sec,cur_start_sec,cur_end_sec,dropped_index,inserted_round_no,inserted_start_sec,inserted_end_sec,ocr_scan_results
30,keep,ok,map_ocr,current_map=PEARL,,,3832.829,3940.937,,,,,"[{""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIOER: ABYSS"", ""t_sec"": 3833.829}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 3835.829}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 3837.829}]"
31,keep,ok,map_ocr,current_map=PEARL,,,3970.967,4025.021,,,,,"[{""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 3971.967}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 3973.967}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 3975.967}]"
32,keep,ok,map_ocr,current_map=PEARL,,,4055.051,4269.265,,,,,"[{""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4056.051}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4058.051}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4060.051}]"
33,inspect_between,missing_round_between,map_ocr,current_map=PEARL,,,4358.354,4489.485,,,,,"[{""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4359.354}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4361.354}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4363.354}]"
34,keep,ok,map_ocr,current_map=PEARL,,,4504.5,4561.557,,,,,"[{""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4505.5}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4507.5}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4509.5}]"
35,keep,ok,map_ocr,current_map=PEARL,,,4707.703,4846.842,,,,,"[{""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4708.703}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4710.703}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4712.703}]"
36,keep,ok,map_ocr,current_map=PEARL,,,4879.875,4982.978,,,,,"[{""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIOER: ABYSS"", ""t_sec"": 4880.875}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4882.875}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4884.875}]"
37,keep,ok,map_ocr,current_map=PEARL,,,5022.017,5135.13,,,,,"[{""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 5023.017}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 5025.017}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 5027.017}]"
38,keep,ok,map_ocr,current_map=PEARL,,,5150.145,5252.247,,,,,"[{""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 5151.145}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 5153.145}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 5155.145}]"
39,keep,ok,map_ocr,current_map=PEARL,,,5344.339,5435.43,,,,,"[{""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 5345.339}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 5347.339}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 5349.339}]"
40,keep,ok,map_ocr,current_map=PEARL,,,5469.464,5574.569,,,,,"[{""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 5470.464}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 5472.464}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 5474.464}]"
42,drop_previous,drop_previous_candidate,map_ocr,current_map=PEARL,,,5679.674,5764.759,,,,,"[{""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 5680.674}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 5682.674}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 5684.674}]"
43,keep,ok,map_ocr,current_map=PEARL,,,5796.791,5897.892,,,,,"[{""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 5797.791}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 5799.791}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 5801.791}]"
