value,start_sec,end_sec,n_samples,mean_diff,min_diff,max_diff,duration_sec
True,2795.793,2885.8830000000003,91,10.84253674927503,5.859809027777778,14.47216796875,91.09100000000015
False,2886.884,2984.982,99,60.45180428416106,42.496256510416664,155.3198784722222,99.09899999999996
True,2985.983,3099.096,114,8.940411127101607,0.0,13.375596788194443,114.11399999999983
False,3100.097,3124.121,25,60.77130967881944,46.26255967881944,86.22783745659721,25.024999999999892
True,3125.122,3229.226,105,10.46284644717262,6.556423611111111,14.429741753472221,105.10500000000027
False,3230.227,3241.2380000000003,12,67.7127369068287,44.24099392361111,185.45787217881943,12.012000000000427
True,3242.239,3284.281,43,22.97855284540536,18.324354383680554,24.937337239583332,43.04299999999992
False,3285.282,3312.309,28,63.82598683190724,45.93622504340278,102.5898708767361,28.02800000000005
True,3313.31,3372.369,60,23.372730396412035,18.725016276041664,26.152425130208332,60.0600000000002
False,3373.37,3397.3940000000002,25,56.822003038194445,43.84825303819444,82.50363498263889,25.025000000000347
True,3398.395,3486.483,89,23.50390746917915,19.12090386284722,26.31572808159722,89.0890000000002
False,3487.484,3506.503,20,64.19774441189236,49.28352864583333,90.5844997829861,20.020000000000238
True,3507.504,3564.561,58,25.18880863116619,18.77153862847222,27.473605685763886,58.05800000000025
False,3565.562,3592.589,28,66.2842504107763,43.93288845486111,113.06366644965277,28.02800000000005
True,3593.59,3704.701,112,23.446160694909473,18.53000217013889,26.867051866319443,112.11199999999988
False,3705.702,3731.728,27,59.48848118409208,40.70673285590278,115.22837999131944,27.026999999999845
True,3732.7290000000003,3801.7980000000002,70,23.86380169580853,18.40744357638889,26.390977647569443,70.06999999999996
False,3802.799,3831.828,30,61.441356517650455,46.87481011284722,93.95602756076389,30.03
True,3832.829,3940.937,109,22.810701671604228,18.56491427951389,26.491156684027775,109.10899999999972
False,3941.938,3969.966,29,56.70756630148467,41.78233506944444,93.39024522569444,29.028999999999797
True,3970.967,4025.021,55,25.429772825915403,22.122802734375,26.820149739583332,55.05500000000009
False,4026.022,4054.05,29,63.92557171934866,46.667724609375,151.6209038628472,29.029000000000252
True,4055.051,4269.265,215,23.1357341125646,18.097113715277775,26.537434895833332,215.2150000000004
False,4270.2660000000005,4357.353,88,58.11929382940735,42.52894422743055,130.35251193576389,88.08799999999954
True,4358.354,4489.485,132,23.180901010429817,17.49679904513889,26.11675347222222,132.1319999999994
